Link,Company,Title,Location,summary
https://www.jobkorea.co.kr/Recruit/GI_Read/40703033,메가존클라우드㈜,"Global Growth Group(Business, product manager 등) 채용",서울,"소프트웨어개발, 솔루션, 마케팅, 아이폰, 안드로이드, 소프트웨어"
https://www.jobkorea.co.kr/Recruit/GI_Read/40703072,메가존클라우드㈜,"경영그룹(법무,회계,전략기획) 채용",서울,"소프트웨어개발, 솔루션, 경영기획, 사업기획, 사업제휴, 인수·합병, 타당성분석, 공시, 재무, 재무기획, 재무회계, 주식IR, 기술영업, 일반영업, 해외영업, 번역, 영어, 통역, 법률서비스, 법무대리, 법무사, 변호사"
https://www.jobkorea.co.kr/Recruit/GI_Read/40716913,힐티코리아㈜,[외국계] Marketing Pricing Manager,서울,"건설, MBA"
https://www.jobkorea.co.kr/Recruit/GI_Read/40728068,한국암웨이㈜,[ABG North Asia] Ass. Regional SC Planner (외국계/부산),부산,"생활용품, 소비재, 물류, 국제물류, 데이터분석, 조사분석"
https://www.jobkorea.co.kr/Recruit/GI_Read/40771280,아데코코리아,[글로벌 진단장비 기업]Enterprise Account Manager (부장-이사),서울,"의료기기, 의료기영업, 장비영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40890458,현대자동차㈜,현대자동차 제조솔루션본부 경력 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40771317,아데코코리아,"[글로벌 반도체 기업] Account Manager, Field Sales 경력직 채용",서울,"반도체, 고객관리"
https://www.jobkorea.co.kr/Recruit/GI_Read/40793956,㈜신세계인터내셔날,(주)신세계인터내셔날 JAJU 영업기획 초대졸 신입사원 정규직 모집,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40883770,엘에스이모빌리티솔루션,2023년 1분기 부문별 신입/경력 수시채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40856614,존슨앤드존슨,[한국얀센] Medical Advisor - Hematology,서울,"제약의사, 혈액학, Medical Advisor, 의료기기, 바이오, 제약, 의료·제약"
https://www.jobkorea.co.kr/Recruit/GI_Read/40749335,에드워드코리아㈜,Operation Buyer(Contractor-계약직 18개월) 경력(1-3년) 채용,충남,"외자구매, 원부자재구매, 외자구매, 자재구매"
https://www.jobkorea.co.kr/Recruit/GI_Read/40754254,아이엠아이크리티컬엔지니어링코리아㈜,Buyer 경력 채용 [외국계 제조업/정규직],경기,"기계, 밸브, 유압기기, 구매관리, 상품입출고, 외자구매, 자재구매, 자재구매기획"
https://www.jobkorea.co.kr/Recruit/GI_Read/40763551,이케아코리아 유한회사,[IKEA 광명점] HR 제너럴리스트 경력 채용,경기,"마트, 유통, 유통관리, 판매, 노사관리"
https://www.jobkorea.co.kr/Recruit/GI_Read/40761878,㈜퀄슨,[스쿨라이브]영어컨텐츠 개발(계약직 6개월/채용형 인턴-정규직 전환 검토),서울,"모바일, 모바일App, 교육기획, 교육진행, 교재컨텐츠개발, 교육프로그램"
https://www.jobkorea.co.kr/Recruit/GI_Read/40774845,용마로지스㈜,"23년 1월, 각 부문별 신입 및 경력 채용",,
https://www.jobkorea.co.kr/Recruit/GI_Read/40795963,인모비코리아,Sales Manager,서울,모바일
https://www.jobkorea.co.kr/Recruit/GI_Read/40761039,에스에스아이부산㈜,미국 정규 교육 과정 초등 교사 채용,부산,"외국인학교, 초중고등학교, 초등학교교사, 원어민강사"
https://www.jobkorea.co.kr/Recruit/GI_Read/40790752,㈜서울오션아쿠아리움,[코엑스 아쿠아리움] 마케팅 담당자 채용,서울,"놀이공원, 레저"
https://www.jobkorea.co.kr/Recruit/GI_Read/40754433,클랭에듀러닝센터 어학원,성인전문 영어회화학원에서 영어선생님을 모십니다. (분당서현역1분거리),경기,"영어학원, 영어, 영어강사, 일반학원강사"
https://www.jobkorea.co.kr/Recruit/GI_Read/40755729,Kibo Franchising Ltd.,캐나다 토론토 일식 프렌차이즈에서 함께할 인재를 모집합니다.,북아메리카,"프랜차이즈, 일식, 주방보조, 주방장, Chef"
